N,P,K,rainfall,humidity,temperature,Soil_Moisture,Sunshine_hours,Wind_speed,pH,Organic_Carbon
41,92,54,2917.102941,66.83,32.6,50.96,4.25,9.55,7.43,0.38
35,9,83,852.5250834,48.47,25.67,35.98,7.19,15.93,6.8,0.63
42,6,23,1152.740698,76.53,17.61,48.97,5.79,8.85,5.64,0.86
116,37,136,1228.057333,32.12,36.37,25.21,7.06,5.69,5.96,0.54
1,5,54,953.706476,69.97,18.59,46.73,8.63,7.47,5.84,0.82
51,33,125,2452.856359,33.62,23.81,24.63,8.67,8.78,5.65,0.83
21,75,107,1869.057376,44.86,21.1,32.51,7.42,7.01,6.07,0.77
75,64,41,2460.152841,87.47,30.83,51.03,5.46,18.33,7.38,0.33
109,79,49,2627.315932,89.94,23.09,59.61,9,13.05,6.02,0.25
109,79,49,2627.315932,89.94,23.09,59.04,7.54,18.11,5.88,0.54
17,69,6,2120.397033,57.54,26.87,40.52,5.68,10.34,6.68,0.96
49,76,17,2255.482507,77.11,29.69,56.07,7.21,6.33,6.74,1.05
86,53,135,2295.890405,75.62,28.2,50.17,8.28,16.99,5.75,0.36
31,83,83,1114.25894,83.85,26.32,55.68,5.83,7.49,6.67,0.88
36,22,87,833.2035567,56.63,28.58,36.98,5.25,16.73,7.49,0.64
124,7,148,1168.380086,82.6,19.47,52.95,4.17,4.62,6.71,0.86
17,69,6,2120.397033,57.54,26.87,39.13,7.18,7.83,7.12,0.34
117,38,113,2955.791283,69.25,32.14,44.34,7.34,5.76,6.48,0.97
114,32,38,2544.821499,88.45,29.81,58.09,6.85,10.76,5.69,1.16
124,7,148,1168.380086,82.6,19.47,58.91,6.41,14.47,5.96,0.55
7,24,51,425.843861,83.99,38.01,53.96,5.89,11.22,7.39,0.66
85,13,57,1742.49869,85.49,24.25,55.51,7.1,2.27,6.61,0.8
51,33,125,2452.856359,33.62,23.81,17.88,6.86,3.13,5.96,0.82
61,58,22,2506.499194,59.33,21.82,39.81,3.27,2.92,7.2,0.85
36,51,15,1714.398614,38.36,33.56,28.33,7.03,2,5.82,0.8
95,96,114,1189.551238,65.79,24.65,45.83,8.13,16.41,6.59,0.2
31,83,83,1114.25894,83.85,26.32,60.36,7.72,13.4,7.26,0.92
119,63,73,1846.93628,55.96,34.31,38.89,6.14,12.5,6.59,0.96
21,74,114,1787.64514,67.79,15.19,45.04,6.42,13.94,6.67,0.71
42,97,71,1602.624082,68.28,34.17,50.04,7.3,3.59,6.25,1.46
132,98,82,1576.562469,36.37,34.38,27.99,7.43,10.36,7.16,0.68
52,82,116,2789.13934,82.52,16.19,53.01,5.8,8.27,5.57,1.19
98,34,55,471.0873474,31.98,25.6,20.37,9.83,4.83,7.44,1.35
85,13,57,1742.49869,85.49,24.25,58.32,5.04,13.02,6.51,0.77
114,39,135,920.2917771,44.24,17.96,33.39,7.36,10.36,6.25,0.88
42,6,23,1152.740698,76.53,17.61,53.14,5.98,8.35,5.65,0.64
27,95,58,2609.212646,80.74,17.79,57.48,7.47,7.16,6.62,0.93
27,95,58,2609.212646,80.74,17.79,51.47,7.61,15.46,5.51,1.03
82,59,146,2860.314286,31.67,27.82,26.31,5.44,14.44,6.55,1.12
27,95,58,2609.212646,80.74,17.79,54.71,4.77,10.05,6.93,0.76
1,66,115,2489.795303,65.46,23.8,42.7,7.24,9.69,5.8,0.89
55,21,136,1800.617222,54.71,18.93,37.8,6.44,2,6.02,0.41
7,24,51,425.843861,83.99,38.01,57.15,8.44,7.8,6.95,0.67
86,53,135,2295.890405,75.62,28.2,53.66,5.48,14.98,6.49,0.75
1,66,115,2489.795303,65.46,23.8,43.38,5.39,12.1,5.78,0.89
113,68,105,1591.770105,52.3,30.2,38.88,6.01,14.43,5.86,1.11
51,33,125,2452.856359,33.62,23.81,26.82,8.27,9.57,6.4,0.94
46,49,50,887.377491,82.46,39.76,57.65,7.87,23.85,6.53,1
40,63,31,1674.500645,70.13,15.55,47.58,9.7,12.8,7.27,0.92
39,13,46,853.942573,80.93,34.25,51.95,7.86,13.84,7.34,1.24
19,47,5,433.4677674,55.8,23.74,41.79,5.56,13.47,6.58,1.19
119,63,73,1846.93628,55.96,34.31,37.44,4.86,11.43,7.24,0.47
85,13,57,1742.49869,85.49,24.25,57.36,6.96,11.34,7.35,1.45
12,22,17,2212.133471,63.42,30.54,45.92,8.76,7.35,6.88,0.75
40,10,8,2665.444348,62.67,26.95,47.47,4.46,17.93,6.57,0.39
44,13,61,1748.53579,31.52,21.9,23.45,7.85,13.32,5.95,0.44
36,22,87,833.2035567,56.63,28.58,40.09,6.54,13.99,5.82,0.94
124,7,148,1168.380086,82.6,19.47,53.62,4.79,9.3,7.16,0.41
18,96,117,892.7335791,87.09,31.32,53.21,6.03,12.66,6.22,0.42
98,34,55,471.0873474,31.98,25.6,20.17,3.63,5,6.81,0.9
85,13,57,1742.49869,85.49,24.25,53.94,8.1,8.49,6.57,1.16
100,30,114,760.1107444,55.28,36.92,39.79,8.96,9.6,6.55,0.74
40,78,13,1679.265535,33.73,31.99,23.08,6.5,9.71,5.53,0.99
59,78,129,881.4879006,86.93,32.53,60.25,5.12,2.63,6.65,1.05
82,59,146,2860.314286,31.67,27.82,20.67,6.11,7.05,5.69,0.31
93,35,79,2334.771999,41.15,18.43,30.24,5.29,9.36,7.43,0.35
16,73,29,1968.757038,73.33,18.85,48.82,3.79,8.82,7.2,0.74
127,5,149,575.668799,84.36,37.87,57.65,6.34,21.31,5.52,0.93
95,12,138,1553.765624,45.27,27.05,25.16,5.02,10.39,5.58,0.34
20,88,50,1346.544865,40.14,19.76,29.98,6.64,17.89,5.68,0.94
